id,x,y,color,sourceRadius,targetRadius,sourceX,sourceY,targetX,targetY
4823880,328.0426382574009,890.6528622695171,#b394c9,1,1,328.0426382574009,890.6528622695171,913.2486338413294,608.4310055098408
4823910,320.180179816641,524.2712591104473,#9ccadd,3,4,320.180179816641,524.2712591104473,941.9107098727721,830.4564757513175
4823970,231.80786943700573,534.1384321427698,#9ccadd,1,1,231.80786943700573,534.1384321427698,878.9215326138085,920.6761384760498
4824000,217.4814488146831,257.10807272318925,#d5ece6,1,1,217.4814488146831,257.10807272318925,825.881626502,540.5076875076978
4824030,296.1626187001462,826.5060426764777,#b394c9,2,2,296.1626187001462,826.5060426764777,823.7923708053911,784.1721517475744
4824060,288.0928072425142,577.7839898447068,#9ccadd,3,3,288.0928072425142,577.7839898447068,857.8160987838668,796.1809933113769
4824100,401.5347415719048,609.393166087217,#9ccadd,1,2,401.5347415719048,609.393166087217,962.2299616148019,802.2244587004056
4824120,246.16337492697494,872.624623621135,#b394c9,1,1,246.16337492697494,872.624623621135,878.5938738850409,926.2698827007408
4824150,339.80103796774966,500.6616258503384,#9ccadd,1,1,339.80103796774966,500.6616258503384,955.3742207306865,771.8401945572018
4824180,399.1676106427575,910.2186860103276,#b394c9,1,1,399.1676106427575,910.2186860103276,867.4002738391839,876.1730714424464
4824210,275.650737728299,494.71582332056704,#9ccadd,1,1,275.650737728299,494.71582332056704,831.611998351326,852.7777539951375
4824240,220.02742711475116,525.0329624932027,#9ccadd,1,1,220.02742711475116,525.0329624932027,918.5539948932926,554.6764427369635
4824260,174.2668182222331,226.24804280807757,#d5ece6,1,1,174.2668182222331,226.24804280807757,862.2320085027604,617.2869956628878
4824300,363.518936655786,645.3411544207986,#9ccadd,1,1,363.518936655786,645.3411544207986,905.0574246497911,581.3574567934418
4824330,294.167757164812,968.4449723785342,#b394c9,1,1,294.167757164812,968.4449723785342,924.7738141845707,866.0851468059096
4824360,426.5208315889056,208.66203115290375,#d5ece6,1,1,426.5208315889056,208.66203115290375,985.7298160629747,782.0419689289236
4824420,280.85191559256765,939.7050579547514,#b394c9,4,4,280.85191559256765,939.7050579547514,875.9878220502997,1027.1090811022389
4824450,283.64739812292623,822.3651390579471,#b394c9,1,1,283.64739812292623,822.3651390579471,936.5726075063134,1010.5388027277166
4824480,342.9778174082726,846.5118352892949,#b394c9,1,1,342.9778174082726,846.5118352892949,858.1134415393129,945.1972557366347
4824530,319.2968714663115,554.143331898147,#9ccadd,1,1,319.2968714663115,554.143331898147,864.7774103454218,909.860607212575
4824590,374.087979113945,860.9683398501992,#b394c9,2,2,374.087979113945,860.9683398501992,855.2351303321035,982.5655720574125
4824600,352.33794970142355,897.5762220890124,#b394c9,1,1,352.33794970142355,897.5762220890124,902.6374681401392,962.8505337701246
4824630,300.91939290043365,954.2080984899477,#b394c9,2,1,300.91939290043365,954.2080984899477,944.0068447732691,894.0559325662442
4824660,260.93512984295484,500.8436791871936,#9ccadd,1,1,260.93512984295484,500.8436791871936,789.342395930552,868.622640310714
4824730,299.85153007987657,973.5186865914869,#b394c9,1,1,299.85153007987657,973.5186865914869,854.35065315394,949.8135183403024
4824750,220.14302767522796,301.6752384352307,#d5ece6,1,1,220.14302767522796,301.6752384352307,904.6169029848987,292.1411457184803
4824780,224.00762015828056,388.5885105143489,#d5ece6,1,1,224.00762015828056,388.5885105143489,876.0331854050493,635.4208920590983
4824810,268.5985478247212,275.8741507763673,#d5ece6,1,1,268.5985478247212,275.8741507763673,861.7897016020463,527.1978018855492
4824840,197.53019234051186,587.8750336202642,#9ccadd,1,1,197.53019234051186,587.8750336202642,751.6683715799591,815.4773862946162
4824900,251.040891712986,448.589820671799,#d5ece6,1,1,251.040891712986,448.589820671799,890.6786087841099,602.7632269533844
4824930,356.3182782855889,302.67385431632573,#d5ece6,2,2,356.3182782855889,302.67385431632573,876.7323305854691,763.0320786550129
4824960,318.82729461619704,821.5593522699559,#b394c9,1,1,318.82729461619704,821.5593522699559,852.315943783178,933.2238560154767
4824990,382.5995304055696,1000.9915159662128,#b394c9,3,3,382.5995304055696,1000.9915159662128,976.1538031143751,1038.1330809430337
4825020,357.4218690726435,988.2763023686027,#b394c9,1,1,357.4218690726435,988.2763023686027,836.9084349017432,950.7837596038868
4825110,256.12987764320724,900.1928038941974,#b394c9,1,1,256.12987764320724,900.1928038941974,798.2424504330132,970.0781807427185
4825140,319.98713926606257,834.463091026923,#b394c9,1,1,319.98713926606257,834.463091026923,866.0994290082948,907.1676101968992
4825170,292.8920028823091,505.36420637730566,#9ccadd,3,6,292.8920028823091,505.36420637730566,849.7675958010935,761.5474512291827
4825200,294.80393152520185,1001.4716202262456,#b394c9,2,2,294.80393152520185,1001.4716202262456,891.0966726212823,964.7835608344751
4825230,286.4932024916211,772.081312217169,#b394c9,1,1,286.4932024916211,772.081312217169,903.8551441651258,868.1594975628254
4825260,215.81129480840758,653.9051341679706,#9ccadd,2,4,215.81129480840758,653.9051341679706,738.4792506505264,841.2473037451302
4825290,200.96949716064125,641.7348805908734,#9ccadd,1,1,200.96949716064125,641.7348805908734,751.2283312854304,876.6191928628932
4825320,266.9365417150884,333.0139208837867,#d5ece6,1,1,266.9365417150884,333.0139208837867,874.399200975151,903.5435154392967
4825410,429.6729722055005,376.07911870116703,#d5ece6,1,1,429.6729722055005,376.07911870116703,999.7245383877084,619.4808627545431
4825440,176.11211811214983,913.4821234486583,#b394c9,1,1,176.11211811214983,913.4821234486583,805.9497864155729,683.967466177289
4825470,285.99893557758935,867.6722923153437,#b394c9,1,1,285.99893557758935,867.6722923153437,907.5065356688407,678.506788932583
4825500,244.15799120613144,508.9565576550186,#9ccadd,1,2,244.15799120613144,508.9565576550186,780.5599026384809,784.1527890387184
4825530,309.3260784002496,1006.1758834955854,#b394c9,1,1,309.3260784002496,1006.1758834955854,885.0837987324993,867.5398065404289
4825560,345.38193098602426,779.241532994287,#b394c9,1,1,345.38193098602426,779.241532994287,877.5839746630649,646.1000693250294
4825590,363.996740213439,788.9264579104938,#b394c9,2,2,363.996740213439,788.9264579104938,852.9207108239287,877.8950967486757
4825620,354.9717565484619,931.8107328674486,#b394c9,2,2,354.9717565484619,931.8107328674486,1006.7704284640349,988.0775316932526
4825660,340.9360445266529,881.8987399683953,#b394c9,4,4,340.9360445266529,881.8987399683953,876.1955228487651,873.1734421394922
4825680,386.2321728932685,871.3522661617784,#b394c9,2,2,386.2321728932685,871.3522661617784,916.6534369877673,701.3056174131386
4825710,253.38543497724615,513.3035261203437,#9ccadd,1,1,253.38543497724615,513.3035261203437,846.0957468577006,635.711565739383
4825740,337.22021207800447,960.8575789324975,#b394c9,4,5,337.22021207800447,960.8575789324975,929.8834313018464,1029.6494457843357
4825790,297.35012580449654,556.001409111741,#9ccadd,1,1,297.35012580449654,556.001409111741,958.6828203591307,899.0323330965624
4825800,298.05828674409577,792.9954721377699,#b394c9,1,1,298.05828674409577,792.9954721377699,884.4871597828492,918.8343919612612
4825870,319.27515397299425,830.6541958444286,#b394c9,1,1,319.27515397299425,830.6541958444286,939.8009008662748,806.6302734591609
4825890,456.2396383459265,305.7724350746624,#d5ece6,1,1,456.2396383459265,305.7724350746624,1004.095094949168,583.5791339166898
4825920,259.79100086200344,608.9283113519916,#9ccadd,1,1,259.79100086200344,608.9283113519916,836.7688376588304,667.995270929986
4825950,222.33505806514884,835.2278994486945,#b394c9,1,1,222.33505806514884,835.2278994486945,757.1615274768192,909.4472482174843
4825980,362.76470148176026,240.01449146464586,#d5ece6,1,1,362.76470148176026,240.01449146464586,862.937219498045,752.4579281145974
4826040,329.3197901188961,657.6021158599842,#9ccadd,1,2,329.3197901188961,657.6021158599842,916.8861354497479,397.68393317296625
4826070,304.1933950481595,837.2622461840516,#b394c9,1,1,304.1933950481595,837.2622461840516,876.6384048500497,402.362955120661
4826100,344.82184661642646,824.5943833800254,#b394c9,1,1,344.82184661642646,824.5943833800254,848.1284256723619,918.3588511164553
4826130,398.25333749352734,383.1901344805127,#d5ece6,3,4,398.25333749352734,383.1901344805127,981.2605441916788,366.6557842220704
4826190,313.9725043513741,892.873943521079,#b394c9,2,2,313.9725043513741,892.873943521079,858.0170769079151,939.7338565619893
4826220,262.8245651152653,616.1791451137705,#9ccadd,1,1,262.8245651152653,616.1791451137705,842.0229053262788,658.1311545828839
4826250,338.2742545547424,637.1497372880743,#9ccadd,1,1,338.2742545547424,637.1497372880743,910.4654451198667,392.33576067204496
4826280,261.2540094219996,970.8024640794871,#b394c9,1,2,261.2540094219996,970.8024640794871,898.0094303985737,1019.319462315362
4826310,280.57725514408787,665.2798580693812,#9ccadd,1,2,280.57725514408787,665.2798580693812,826.5461437731354,825.6189393788318
4826340,208.70595550671337,396.89896541321764,#d5ece6,1,1,208.70595550671337,396.89896541321764,802.0885038206713,355.7202415143819
4826370,218.17617832966704,935.9365568950939,#b394c9,1,1,218.17617832966704,935.9365568950939,984.9113351102131,872.5972935866537
4826400,290.4423305575714,349.82293582488256,#d5ece6,1,1,290.4423305575714,349.82293582488256,845.367793555715,962.752587595551
4826430,419.36212511913664,261.82834353654476,#d5ece6,1,2,419.36212511913664,261.82834353654476,977.1536618812299,791.6351399075481
4826470,395.84605501764173,643.4074896356087,#9ccadd,1,2,395.84605501764173,643.4074896356087,1045.4360183803822,838.9536676313201
4826490,309.5464580552813,955.2416086594006,#b394c9,1,2,309.5464580552813,955.2416086594006,850.3713822496975,996.6603311907212
4826580,367.98819872604565,886.3912270658036,#b394c9,3,4,367.98819872604565,886.3912270658036,985.5780903459001,985.8964219182639
