id,diverse_1994,diverse_2016,total_1994,total_2016
0615270,0,1,7109,7468
0615390,-1,0,1060,476
0615450,-1,0,722,685
0615480,0,1,315,106
0615510,1,1,4204,3571
0615600,0,1,76,91
0615690,-1,0,505,637
0615780,-1,1,2416,1221
0615810,0,1,103,19
0615840,0,1,662,39
0615870,1,1,52,46
0615990,-1,-1,21,11
0616050,1,0,5365,9342
0616080,0,-1,2366,3522
0616110,-1,0,125,201
0616230,1,1,20560,16518
0616260,-1,-1,1133,1280
0616300,1,1,2368,2515
0616320,0,1,592,286
0616323,1,0,1373,1868
0616325,1,0,21771,18572
0616470,1,1,4832,5496
0616500,1,1,2806,3665
0616530,1,1,245,111
0616560,0,1,150,125
0616570,-1,1,816,494
0616620,-1,0,593,68
0616650,1,1,723,824
0616680,1,1,7615,7996
0616740,1,1,19936,20482
0616830,-1,-1,586,1245
0616860,0,1,547,664
0616920,1,1,14550,20125
0617040,0,1,874,1378
0617190,1,1,1282,1478
0617220,0,1,2285,2357
0617340,1,0,4599,5388
0617430,1,0,1998,1553
0617490,0,1,1002,1010
0617520,1,1,105,255
0617580,0,1,96,59
0617640,-1,1,41,18
0617760,1,1,109,86
0617850,1,0,7854,8378
0617880,-1,1,462,202
0618030,0,1,5964,6910
0618060,1,1,13245,15668
0618120,0,0,194,196
0618160,-1,1,185,39
0618210,1,0,1972,4066
0618240,-1,1,30,17
0618270,0,0,50,11
0618390,1,1,16266,8866
0618660,-1,1,401,455
0618690,0,1,477,327
0618730,0,1,1184,601
0618780,-1,0,492,343
0618810,0,1,9,12
0618840,1,1,603,2317
0618870,1,1,7948,6265
0618930,1,1,5183,3687
0618990,1,1,2142,1655
0619050,-1,0,264,206
0619110,0,1,288,150
0619140,0,1,534,309
0619170,-1,1,83,70
0619200,-1,0,616,279
0619230,1,1,39,24
0619260,1,0,16880,18716
0619320,0,1,2163,1686
0619380,-1,1,1006,1256
0619410,-1,0,200,149
0619440,1,0,2993,2628
0619490,1,0,3255,5082
0619540,1,1,23835,37268
0619590,0,0,1221,881
0619620,1,0,724,772
0619650,1,-1,1472,2191
0619680,0,-1,2255,2678
0619700,1,0,8004,9393
0619740,1,-1,528,455
0619830,1,1,947,1083
0619860,1,1,29,104
0619890,1,1,408,370
0619920,0,1,64,23
0619950,1,0,1357,973
0619980,-1,1,66,29
0620010,-1,1,112,119
0620040,0,1,328,585
0620070,0,1,3334,2818
0620130,1,1,3853,4121
0620190,1,0,5338,4721
0620220,1,1,430,318
0620250,1,1,14216,12204
0620310,0,1,3173,3609
0620370,0,0,2437,3018
0620430,1,1,19,16
0620460,1,1,4055,3119
0620490,0,1,34,99
0620520,-1,0,430,261
0620610,-1,1,123,169
